Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions	Id	Common-Name
"fatty acid &beta;-oxidation V (unsaturated, odd number, di-isomerase-dependent)"	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	Opisthokonta // Viridiplantae	Saccharomyces cerevisiae // Arabidopsis thaliana	"a (3E)-3-enoyl-CoA + NADP+  <-  a (2E,4E)-2,4-dienoyl-CoA + NADPH + H+ // a (3E)-3-enoyl-CoA  <-->  a (2E)-2-enoyl-CoA // a (3E,5Z)-alka-3,5-dienoyl-CoA  ->  a (2E,4E)-2,4-dienoyl-CoA // a (2E,5Z)-alka-2,5-dienoyl-CoA  <-->  a (3E,5Z)-alka-3,5-dienoyl-CoA // a (5Z)-alkan-5-enoyl-CoA + dioxygen  ->  a (2E,5Z)-alka-2,5-dienoyl-CoA + hydrogen peroxide"	PWY-6837	"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)"
gondoate biosynthesis (anaerobic)	Fatty Acid and Lipid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Bacteria <bacteria>	Aerococcus viridans	"a gondoyl-[acp] + NAD+  <-  a (2E,11Z)-icosa-2,11-dienoyl-[acp] + NADH + H+ // a (3R,11Z)-3-hydroxy-icos-11-enoyl-[acp]  ->  a (2E,11Z)-icosa-2,11-dienoyl-[acp] + H2O // a (3R,11Z)-3-hydroxy-icos-11-enoyl-[acp] + NADP+  <-  an (11Z)-3-oxo-icos-11-enoyl-[acp] + NADPH + H+ // an oleoyl-[acp] + a malonyl-[acp] + H+  ->  an (11Z)-3-oxo-icos-11-enoyl-[acp] + acyl-carrier protein + CO2"	PWY-7663	gondoate biosynthesis (anaerobic)
prodigiosin biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	Bacteria <bacteria>	Serratia marcescens	"S-adenosyl-L-methionine + 4-hydroxy-2,2'-bipyrrole-5-carbaldehyde  ->  4-methoxy-2,2'-bipyrrole-5-carbaldehyde + S-adenosyl-L-homocysteine + H+ // 4-hydroxy-2,2'-bipyrrole-5-methanol + NAD(P)+  ->  4-hydroxy-2,2'-bipyrrole-5-carbaldehyde + NAD(P)H + H+ // pyruvate + trans-2-octenal + H+  ->  (S)-3-acetyloctanal + CO2 // (S)-3-acetyloctanal + an L-amino acid  ->  2-methyl-3-pentyl-4,5-dihydro-3H-pyrrole + a 2-oxo acid + H2O // ATP + 4-methoxy-2,2'-bipyrrole-5-carbaldehyde + 2-methyl-3-pentyl-1H-pyrrole  ->  ADP + prodigiosin + phosphate + H+ // 2-methyl-3-pentyl-4,5-dihydro-3H-pyrrole + dioxygen  ->  2-methyl-3-pentyl-1H-pyrrole + hydrogen peroxide + H+ // malonyl-CoA + a holo-[PigH polyketide synthase/acyl-carrier protein]  ->  a malonyl-[PigH] + coenzyme A // a 3-oxo-3-(1H-pyrrol-2-yl)propanoyl-[PigH] + L-serine  ->  4-hydroxy-2,2'-bipyrrole-5-methanol + a holo-[PigH polyketide synthase/acyl-carrier protein] + CO2 + H2O // a 1H-pyrrole-2-carbonyl-[PigJ acyl-carrier protein] + a malonyl-[PigH] + H+  ->  a 3-oxo-3-(1H-pyrrol-2-yl)propanoyl-[PigH] + a holo-[PigJ acyl-carrier protein] + CO2 // a 1H-pyrrole-2-carbonyl-[PigG prolyl-carrier protein] + a holo-[PigJ acyl-carrier protein]  ->  a 1H-pyrrole-2-carbonyl-[PigJ acyl-carrier protein] + a holo-[PigG prolyl-carrier protein] // an L-prolyl-[PigG prolyl-carrier protein] + 2 an oxidized electron-transfer flavoprotein + H+  ->  a 1H-pyrrole-2-carbonyl-[PigG prolyl-carrier protein] + 2 a reduced electron-transfer flavoprotein // L-proline + a holo-[PigG prolyl-carrier protein] + ATP  ->  an L-prolyl-[PigG prolyl-carrier protein] + AMP + diphosphate"	PWY-7547	prodigiosin biosynthesis
glycogen biosynthesis II (from UDP-D-Glucose)	Glycan Pathways // Carbohydrate Biosynthesis	Glycogen and Starch Biosynthesis	Fungi // Metazoa	Homo sapiens // Neurospora crassa // Oryctolagus cuniculus // Rattus norvegicus // Saccharomyces cerevisiae	"a glucosylated glycogenin  ->  a glycogen // UDP-alpha-D-glucose + (1,4-alpha-D-glucosyl)(n)  glycogenin  ->  (1,4-alpha-D-glucosyl)(n+1) glycogenin + UDP // UDP-alpha-D-glucose + an alpha-D-glucosyl-[glycogenin]  ->  (1,4-alpha-D-glucosyl)n-glucosyl glucogenin + UDP + H+ // UDP-alpha-D-glucose[out] + a [glycogenin][out]  ->  an alpha-D-glucosyl-[glycogenin][out] + UDP[out] + H+[out]"	PWY-5067	glycogen biosynthesis II (from UDP-D-Glucose)
5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	"Cofactor, Carrier, and Vitamin Biosynthesis"	Adenosylcobamide Biosynthesis	Archaea // Bacteria <bacteria>	Methanobacterium bryantii // Methanoculleus marisnigri // Methanolobus tindarius // Methanosarcina barkeri // Methanothermobacter marburgensis // Pelobacter propionicus	beta-nicotinate D-ribonucleotide + 5-hydroxybenzimidazole  ->  5-hydroxybenzimidazole ribotide phosphate + nicotinate + H+ // adenosylcobinamide-GDP + 5-hydroxybenzimidazole ribotide phosphate  ->  Coalpha-[alpha-(5-hydroxybenzimidazolyl)]-Cobeta-adenosylcobamide 5'-phosphate + GMP + H+ // Coalpha-[alpha-(5-hydroxybenzimidazolyl)]-Cobeta-adenosylcobamide 5'-phosphate + H2O  ->  Coalpha-[alpha-(5-hydroxybenzimidazolyl)]-Cobeta-adenosylcobamide + phosphate	PWY-7969	5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
"oleate &beta;-oxidation (thioesterase-dependent, yeast)"	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	Fungi	Saccharomyces cerevisiae	"(3E,5Z)-tetradeca-3,5-dienoyl-CoA + H2O  ->  (3E,5Z)-tetradeca-3,5-dienoate + coenzyme A + H+ // (2E,5Z)-tetradecenoyl-CoA  <-->  (3E,5Z)-tetradeca-3,5-dienoyl-CoA"	PWY-7292	"oleate beta-oxidation (thioesterase-dependent, yeast)"
petroselinate biosynthesis	Fatty Acid and Lipid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Magnoliopsida	Daucus carota // Coriandrum sativum // Hedera helix	"Petrosel-2-enoyl-[acyl-carrier protein] reductase (NADPH, B-specific) // 3-hydroxypetroselinoyl-[acyl-carrier protein] dehydratase // 3-oxo-petroslinoyl-[acyl-carrier protein] reductase // a petroselinoyl-[acp] + H2O  ->  petroselinate + acyl-carrier protein + H+ // a (4Z)-hexadec-4-enoyl-[acp] + a malonyl-[acp] + H+  ->  a (6Z)-3-oxooctadec-6-enoyl-[acp] + acyl-carrier protein + CO2 // a palmitoyl-[acp] + 2 a reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  a (4Z)-hexadec-4-enoyl-[acp] + 2 an oxidized ferredoxin [iron-sulfur] cluster + 2 H2O"	PWY-5367	petroselinate biosynthesis
pyruvate fermentation to acetate and alanine	Generation of Precursor Metabolites and Energy // Superpathways // Carboxylate Degradation	Pyruvate Fermentation to Acetate // Superpathways	Amoebozoa // Archaea	Entamoeba histolytica // Pyrococcus furiosus	L-alanine biosynthesis II // pyruvate fermentation to acetate III	PWY-5096	pyruvate fermentation to acetate and alanine
dapdiamides biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	Bacteria <bacteria>	Pantoea agglomerans	"L-serine + ATP  ->  O-phospho-L-serine + ADP + H+ // O-phospho-L-serine + L-glutamate  ->  N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate + phosphate // N-[(2S)-2-amino-2-carboxyethyl]-L-glutamate + NAD+ + H2O  ->  2-oxoglutarate + L-2,3-diaminopropanoate + NADH + H+ // N-3-(R,R)-epoxysuccinamoyl-(S)-2,3-diaminopropanoate + L-valine + ATP  ->  N-(R,R)-3-epoxysuccinamoyl-(S)-2,3-diaminopropanoyl-L-valine + ADP + phosphate + H+ // an N-3-(R,R)-epoxysuccinamoyl-(S)-2,3-diaminopropanoyl-[DdaD non-ribosomal peptide synthase] + H2O  ->  N-3-(R,R)-epoxysuccinamoyl-(S)-2,3-diaminopropanoate + a DdaD non-ribosomal peptide synthase + H+ // an N-3-fumaramoyl-(S)-2,3-diaminopropanoyl-[DdaD non-ribosomal peptide synthase] + 2-oxoglutarate + dioxygen  ->  an N-3-(R,R)-epoxysuccinamoyl-(S)-2,3-diaminopropanoyl-[DdaD non-ribosomal peptide synthase] + succinate + CO2 // N-3-fumaramoyl-(S)-2,3-diaminopropanoyl-adenylate + a DdaD non-ribosomal peptide synthase  ->  an N-3-fumaramoyl-(S)-2,3-diaminopropanoyl-[DdaD non-ribosomal peptide synthase] + AMP + H+ // N-3-fumaramoyl-L-2,3-diaminopropanoate + ATP + H+  ->  N-3-fumaramoyl-(S)-2,3-diaminopropanoyl-adenylate + diphosphate // ATP + fumarate + L-2,3-diaminopropanoate  ->  AMP + N-3-fumaroyl-L-2,3-diaminopropanoate + diphosphate + H+ // N-3-fumaroyl-L-2,3-diaminopropanoate + L-glutamine + ATP + H2O  ->  N-3-fumaramoyl-L-2,3-diaminopropanoate + L-glutamate + AMP + diphosphate + H+ // N-3-fumaramoyl-L-2,3-diaminopropanoate + L-valine + ATP  ->  dapdiamide A + ADP + phosphate + H+ // N-3-fumaramoyl-L-2,3-diaminopropanoate + L-isoleucine + ATP  ->  dapdiamide B + ADP + phosphate + H+ // N-3-fumaramoyl-L-2,3-diaminopropanoate + L-leucine + ATP  ->  dapdiamide C + ADP + phosphate + H+"	PWY-7706	dapdiamides biosynthesis
phenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	"Cofactor, Carrier, and Vitamin Biosynthesis"	Adenosylcobamide Biosynthesis	Bacteria <bacteria>	Pelosinus fermentans // Sporomusa ovata	phenyl-Cobeta-adenosylcobamide 5'-phosphate + H2O  ->  phenyl-Cobeta-adenosylcobamide + phosphate // adenosylcobinamide-GDP + phenyl ribotide phosphate  ->  phenyl-Cobeta-adenosylcobamide 5'-phosphate + GMP + H+ // beta-nicotinate D-ribonucleotide + phenol  ->  nicotinate + phenyl ribotide phosphate + H+	PWY-7961	phenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
"10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent, yeast)"	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	Fungi	Saccharomyces cerevisiae	"3-hydroxy-heptanoyl-CoA + coenzyme A + NAD+ + H2O + dioxygen  ->  3-hydroxypentanoyl-CoA + acetyl-CoA + hydrogen peroxide + NADH + H+ // (3R)-hydroxynonanoyl-CoA + coenzyme A + NAD+ + H2O + dioxygen  ->  3-hydroxy-heptanoyl-CoA + acetyl-CoA + hydrogen peroxide + NADH + H+ // (3R)-hydroxy-undecanoyl-CoA + coenzyme A + NAD+ + H2O + dioxygen  ->  (3R)-hydroxynonanoyl-CoA + acetyl-CoA + hydrogen peroxide + NADH + H+ // (3R)-hydroxy-undecanoyl-CoA  <-  (2E)-undec-2-enoyl-CoA + H2O // (3E)-undec-3-enoyl-CoA  <-->  (2E)-undec-2-enoyl-CoA // (3E)-undec-3-enoyl-CoA + NADP+  <-  (2E, 4E)-undeca-2,4-dienoyl-CoA + NADPH + H+ // 4-trans-undecenoyl-CoA + dioxygen  ->  (2E, 4E)-undeca-2,4-dienoyl-CoA + hydrogen peroxide // 4-trans-undecenoyl-CoA + acetyl-CoA  <-  6-trans-3-oxo-tridecenoyl-CoA + coenzyme A // (3R)-hydroxy, 6-trans-tridecenoyl-CoA + NAD+  ->  6-trans-3-oxo-tridecenoyl-CoA + NADH + H+ // enoyl-CoA hydratase // 6-trans-tridecenoyl-CoA + dioxygen  ->  2-trans-6-trans-tridecadienoyl-CoA + hydrogen peroxide // 10-trans-heptadecenoyl-CoA + 2 coenzyme A + 2 NAD+ + 2 H2O + 2 dioxygen  ->  6-trans-tridecenoyl-CoA + 2 acetyl-CoA + 2 hydrogen peroxide + 2 NADH + 2 H+"	PWY-7338	"10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)"
ricinoleate biosynthesis	Fatty Acid and Lipid Biosynthesis	Hydroxylated Fatty Acid Biosynthesis // Unsaturated Fatty Acid Biosynthesis	Viridiplantae	Lunaria annua // Physaria // Physaria fendleri // Physaria lindheimeri // Ricinus communis // Arabidopsis thaliana // Physaria kathryn	"a 1-acyl,2-oleoyl-sn-glycerol + CDP-choline  ->  a 1-acyl-2-oleoyl-sn-glycero-3-phosphocholine + CMP + H+ // ricinoleoyl-CoA + a 1-acyl-2-lyso-sn-glycero-3-phosphocholine  <-->  a 1-acyl-2-ricinoleoyl-sn-glycero-3-phosphocholine + coenzyme A // a 1-acyl-2-oleoyl-sn-glycero-3-phosphocholine + 2 a ferrocytochrome b5 + dioxygen + 2 H+  ->  a 1-acyl-2-ricinoleoyl-sn-glycero-3-phosphocholine + 2 a ferricytochrome b5 + H2O"	PWY-7618	ricinoleate biosynthesis
6'-dechloromelleolide F biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	Basidiomycota	Armillaria gallica // Armillaria mellea	"melleolide F + chloride + FADH2 + dioxygen  ->  6'-chloromelleolide F + FAD + 2 H2O // acetyl-CoA + 3 malonyl-CoA + polyketide synthase + 3 H+  ->  orsellinoyl-[pks] + 3 CO2 + 4 coenzyme A + H2O // orsellinoyl-[pks] + 1,4,5-trihydroxy-Delta2,3-protoilludene  ->  melleolide F + polyketide synthase // (2E,6E)-farnesyl diphosphate  ->  Delta2,4-protoilludene + diphosphate // Delta2,4-protoilludene  ->  1,4,5-trihydroxy-Delta2,3-protoilludene"	PWY-7911	6'-dechloromelleolide F biosynthesis
glycogen biosynthesis I (from ADP-D-Glucose)	Glycan Pathways // Carbohydrate Biosynthesis	Glycogen and Starch Biosynthesis	Bacteria <bacteria>	Escherichia coli	"alpha-D-glucopyranose 1-phosphate  <-->  D-glucopyranose 6-phosphate // alpha-D-glucopyranose 1-phosphate + ATP + H+  ->  ADP-alpha-D-glucose + diphosphate // a (1->4)-alpha-D-glucan  ->  a glycogen // ADP-alpha-D-glucose + (1,4-alpha-D-glucosyl)(n)  <-->  ADP + (1,4-alpha-D-glucosyl)(n+1)"	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)
2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	"Cofactor, Carrier, and Vitamin Biosynthesis"	Adenosylcobamide Biosynthesis	Bacteria <bacteria>	Salmonella enterica	beta-nicotinate D-ribonucleotide + 2-methyladenine  ->  nicotinate + 2-methyladenine ribotide phosphate + H+ // adenosylcobinamide-GDP + 2-methyladenine ribotide phosphate  ->  Coalpha-[alpha-(2-methyladenin-9-yl)]-Cobeta-adenosylcobamide 5'-phosphate + GMP + H+ // Coalpha-[alpha-(2-methyladenin-9-yl)]-Cobeta-adenosylcobamide 5'-phosphate + H2O  ->  Coalpha-[alpha-(2-methyladenin-7-yl)]-Cobeta-adenosylcobamide + phosphate	PWY-7965	2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
2-methyl-branched fatty acid &beta;-oxidation	Metabolic Clusters // Fatty Acid and Lipid Degradation	Fatty Acid Degradation // Metabolic Clusters	Metazoa	Homo sapiens // Rattus norvegicus	a long-chain 2-methyl fatty acyl-CoA(n-3) + propanoyl-CoA  <-  a long-chain 2-methyl-3-oxoacyl-CoA + coenzyme A // a medium-chain 2-methyl fatty acyl-CoA(n-3) + propanoyl-CoA  <-  a medium-chain 2-methyl-3-oxoacyl-CoA + coenzyme A // a short-chain 2-methyl fatty acyl-CoA(n-3) + propanoyl-CoA  <-  a short-chain 2-methyl-3-oxoacyl-CoA + coenzyme A // a long-chain (3S)-3-hydroxy-2-methylacyl-CoA + NAD+  ->  a long-chain 2-methyl-3-oxoacyl-CoA + NADH + H+ // a medium-chain (3S)-3-hydroxy-2-methylacyl-CoA + NAD+  ->  a medium-chain 2-methyl-3-oxoacyl-CoA + NADH + H+ // a short-chain (3S)-3-hydroxy-2-methylacyl-CoA + NAD+  ->  a short-chain 2-methyl-3-oxoacyl-CoA + NADH + H+ // a long-chain (3S)-3-hydroxy-2-methylacyl-CoA  <-->  a long-chain (2E)-2-methyl-2-enoyl-CoA + H2O // a medium-chain (3S)-3-hydroxy-2-methylacyl-CoA  <-->  a medium-chain (2E)-2-methyl-2-enoyl-CoA + H2O // a short-chain (3S)-3-hydroxy-2-methylacyl-CoA  <-->  a short-chain (2E)-2-methyl-2-enoyl-CoA + H2O // a medium-chain 2-methyl-branched fatty acid + ATP + coenzyme A  ->  a medium-chain 2-methyl fatty acyl-CoA + AMP + diphosphate // a short-chain 2-methyl-branched fatty acid + ATP + coenzyme A  ->  a short-chain 2-methyl fatty acyl-CoA + AMP + diphosphate // a short-chain 2-methyl fatty acyl-CoA + an oxidized electron-transfer flavoprotein + H+  ->  a short-chain (2E)-2-methyl-2-enoyl-CoA + a reduced electron-transfer flavoprotein // a medium-chain 2-methyl fatty acyl-CoA + an oxidized electron-transfer flavoprotein + H+  ->  a medium-chain (2E)-2-methyl-2-enoyl-CoA + a reduced electron-transfer flavoprotein // a long-chain 2-methyl fatty acyl-CoA + an oxidized electron-transfer flavoprotein + H+  ->  a long-chain (2E)-2-methyl-2-enoyl-CoA + a reduced electron-transfer flavoprotein	PWY-8181	2-methyl-branched fatty acid beta-oxidation
sapienate biosynthesis	Fatty Acid and Lipid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Magnoliopsida	Thunbergia alata	a palmitoyl-[acp] + 2 a reduced ferredoxin [iron-sulfur] cluster + dioxygen + 2 H+  ->  a sapienoyl-[acp] + 2 an oxidized ferredoxin [iron-sulfur] cluster + 2 H2O	PWY-5362	sapienate biosynthesis
pyruvate fermentation to acetate III	Generation of Precursor Metabolites and Energy // Superpathways // Carboxylate Degradation	Pyruvate Fermentation to Acetate // Superpathways	Amoebozoa // Archaea	Pyrococcus furiosus // Entamoeba histolytica	acetate and ATP formation from acetyl-CoA II // acetate + ATP + coenzyme A  <-->  acetyl-CoA + ADP + phosphate // pyruvate + 2 an oxidized ferredoxin [iron-sulfur] cluster + coenzyme A  <-->  acetyl-CoA + CO2 + 2 a reduced ferredoxin [iron-sulfur] cluster + H+	PWY-5483	pyruvate fermentation to acetate III
valinomycin biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	Actinobacteria	Streptomyces tsusimaensis	pyruvate + a holo-[pyruvoyl-carrier protein] + ATP + NADPH + H+  ->  an S-lactoyl-[pyruvoyl-carrier protein] + AMP + NADP+ + diphosphate // 3-methyl-2-oxobutanoate + a holo-[3-methyl-2-oxobutanoyl-carrier protein] + ATP + NADPH + H+  ->  a (2R)-2-hydroxy-3-methylbutanoyl-[3-methyl-2-oxobutanoyl-carrier protein] + AMP + NADP+ + diphosphate // a holo-[valyl-carrier protein] + L-valine + ATP  ->  a D-valyl-[valyl-carrier protein] + AMP + diphosphate // a holo-[valyl-carrier protein] + L-valine + ATP  ->  an L-valyl-[valyl-carrier protein] + AMP + diphosphate // (D-Hiv-D-Val-L-Lac-L-Val)3-[thioesterase domain]  ->  valinomycin + TE domain // 2 D-Hiv-D-Val-L-Lac-L-Val-[valyl-carrier protein] + D-Hiv-D-Val-L-Lac-L-Val-[thioesterase domain]  ->  (D-Hiv-D-Val-L-Lac-L-Val)3-[thioesterase domain] + 2 a holo-[valyl-carrier protein] // D-Hiv-D-Val-L-Lac-L-Val-[valyl-carrier protein] + TE domain  ->  D-Hiv-D-Val-L-Lac-L-Val-[thioesterase domain] + a holo-[valyl-carrier protein] // a (2R)-2-hydroxy-3-methylbutanoyl-[3-methyl-2-oxobutanoyl-carrier protein] + a D-valyl-[valyl-carrier protein] + an S-lactoyl-[pyruvoyl-carrier protein] + an L-valyl-[valyl-carrier protein]  ->  D-Hiv-D-Val-L-Lac-L-Val-[valyl-carrier protein] + a holo-[3-methyl-2-oxobutanoyl-carrier protein] + a holo-[pyruvoyl-carrier protein] + a holo-[valyl-carrier protein] + 2 H+	PWY-8336	valinomycin biosynthesis
5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	"Cofactor, Carrier, and Vitamin Biosynthesis"	Adenosylcobamide Biosynthesis	Archaea // Bacteria <bacteria>	Archaeoglobus fulgidus // Desulforapulum autotrophicum // Desulfobulbus propionicus // Methanothrix soehngenii // Propionibacterium freudenreichii // Thermoplasma acidophilum	beta-nicotinate D-ribonucleotide + 5-methylbenzimidazole  ->  5-methylbenzimidazole ribotide phosphate + nicotinate + H+ // adenosylcobinamide-GDP + 5-methylbenzimidazole ribotide phosphate  ->  Coalpha-[alpha-(5-methylbenzimidazolyl)]-Cobeta-adenosylcobamide 5'-phosphate + GMP + H+ // Coalpha-[alpha-(5-methylbenzimidazolyl)]-Cobeta-adenosylcobamide 5'-phosphate + H2O  ->  Coalpha-[alpha-(5-methylbenzimidazolyl)]-Cobeta-adenosylcobamide + phosphate	PWY-7968	5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
alkane oxidation	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	Embryophyta // Fungi	[Candida] cloacae // Candida maltosa // Candida tropicalis // Yarrowia lipolytica // Arabidopsis thaliana	"an omega-oxo fatty acid + NAD+ + H2O  ->  an alpha,omega-dicarboxylate + NADH + 2 H+ // an omega-hydroxy fatty acid + dioxygen  ->  an omega-oxo fatty acid + hydrogen peroxide // fatty acid &omega;-hydroxylase // a fatty aldehyde + NAD+ + H2O  ->  a fatty acid + NADH + 2 H+ // a long-chain fatty alcohol + dioxygen  ->  a long-chain fatty aldehyde + hydrogen peroxide // a long-chain alkane + a reduced [NADPH-hemoprotein reductase] + dioxygen  ->  a long-chain fatty alcohol + an oxidized [NADPH-hemoprotein reductase] + H2O"	PWY-2724	alkane oxidation
fosfomycin biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	Bacteria <bacteria>	Streptomyces fradiae // Streptomyces wedmorensis	cytidine 5'-{[hydroxy(2-hydroxypropyl)phosphonoyl]phosphate} + H2O  ->  (S)-2-hydroxypropylphosphonate + CMP + H+ // CTP + 2-hydroxyethylphosphonate  ->  cytidine 5'-{[hydroxy(2-hydroxyethyl)phosphonoyl]phosphate} + diphosphate // (S)-2-hydroxypropylphosphonate + hydrogen peroxide  ->  fosfomycin + 2 H2O // 2 S-adenosyl-L-methionine + cytidine 5'-{[hydroxy(2-hydroxyethyl)phosphonoyl]phosphate} + a reduced two electron carrier  ->  5'-deoxyadenosine + L-methionine + S-adenosyl-L-homocysteine + cytidine 5'-{[hydroxy(2-hydroxypropyl)phosphonoyl]phosphate} + an oxidized electron carrier + 2 H+ // 2-hydroxyethylphosphonate + NAD+  <-->  phosphonoacetaldehyde + NADH + H+ // 3-phosphonopyruvate + H+  ->  phosphonoacetaldehyde + CO2 // phosphoenolpyruvate + H+  <-->  3-phosphonopyruvate	PWY-5757	fosfomycin biosynthesis
glycogen biosynthesis III (from &alpha;-maltose 1-phosphate)	Glycan Pathways // Carbohydrate Biosynthesis	Glycogen and Starch Biosynthesis	Bacteria <bacteria>	Mycolicibacterium smegmatis // Mycobacterium tuberculosis	"a (1->4)-alpha-D-glucan  ->  a GlgE-glycogen // ADP-alpha-D-glucose + D-glucopyranose 6-phosphate  ->  alpha,alpha-trehalose 6-phosphate + ADP + H+ // alpha,alpha-trehalose 6-phosphate + H2O  ->  alpha,alpha-trehalose + phosphate // alpha-maltose  <-->  alpha,alpha-trehalose // ATP + alpha-maltose  ->  ADP + alpha-maltose 1-phosphate + H+ // alpha-maltose 1-phosphate + (1,4-alpha-D-glucosyl)(n-1)  ->  (1,4-alpha-D-glucosyl)(n+1) + phosphate // ADP-alpha-D-glucose + alpha-D-glucopyranose 1-phosphate  ->  ADP + alpha-maltose 1-phosphate + H+ // alpha-D-glucopyranose 1-phosphate  <-->  D-glucopyranose 6-phosphate"	PWY-7900	glycogen biosynthesis III (from alpha-maltose 1-phosphate)
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP II	"Cofactor, Carrier, and Vitamin Biosynthesis"	Adenosylcobamide Biosynthesis	Firmicutes	Geobacillus kaustophilus // Listeria innocua	ATP + alpha-ribazole  ->  alpha-ribazole 5'-phosphate + ADP + H+ // alpha-ribazole[out] + ATP + H2O  ->  alpha-ribazole[in] + ADP + phosphate + H+ // adenosylcobalamin 5'-phosphate + H2O  ->  adenosylcobalamin + phosphate // adenosylcobinamide-GDP + alpha-ribazole 5'-phosphate  ->  adenosylcobalamin 5'-phosphate + GMP + H+	PWY-7975	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP II
