"","X1","X2"
"2387","PWY-7432","L-phenylalanine biosynthesis III (cytosolic, plants)"
"2388","PWY-7433","mucin core 1 and core 2 O-glycosylation"
"2389","PWY-7434","terminal O-glycans residues modification"
"2390","PWY-7435","mucin core 3 and core 4 O-glycosylation"
"2391","PWY-7436","vitamin E biosynthesis (tocotrienols)"
"2392","PWY-7437","protein O-[N-acetyl]-glucosylation"
"2393","PWY-7438","superpathway of dTDP-glucose-derived antibiotic building blocks biosynthesis"
"2394","PWY-7439","dTDP-&beta;-L-evernitrose biosynthesis"
"2395","PWY-743","thiocyanate degradation II"
"2396","PWY-7440","dTDP-&beta;-L-4-epi-vancosamine biosynthesis"
"2397","PWY-7441","polymyxin A biosynthesis"
"2398","PWY-7442","drosopterin and aurodrosopterin biosynthesis"
"2399","PWY-7443","(4S)-carvone biosynthesis"
"2400","PWY-7444","luteolin triglucuronide biosynthesis"
"2401","PWY-7445","luteolin triglucuronide degradation"
"2402","PWY-7446","sulfoglycolysis"
"2403","PWY-7447","2-aminoethylphosphonate degradation III"
"2404","PWY-7448","galloylated catechin biosynthesis"
"2405","PWY-7449","acylated cyanidin galactoside biosynthesis"
"2406","PWY-7450","anthocyanidin modification (Arabidopsis)"
"2407","PWY-7452","cyanidin dimalonylglucoside biosynthesis"
"2408","PWY-7455","allopregnanolone biosynthesis"
"2409","PWY-7456","mannan degradation"
"2410","PWY-7457","sulfite oxidation V (SoeABC)"
"2411","PWY-7458","violdelphin biosynthesis"
"2412","PWY-7459","kojibiose degradation"
"2413","PWY-7460","2-O-acetyl-3-O-trans-coutarate biosynthesis"
"2414","PWY-7461","hydroxycinnamate sugar acid ester biosynthesis"
"2415","PWY-7462","3,3'-dithiodipropanoate degradation"
"2416","PWY-7463","N-methylanthraniloyl-&beta;-D-glucopyranose biosynthesis"
"2417","PWY-7464","cyanidin 3,7-diglucoside polyacylation biosynthesis"
"2418","PWY-7465","3,3'-thiodipropanoate degradation"
"2419","PWY-7466","acetone degradation III (to propane-1,2-diol)"
"2420","PWY-7467","bactoprenyl-diphospho-acetamido-4-amino-6-deoxygalactopyranose biosynthesis"
"2421","PWY-7468","benzoyl-&beta;-D-glucopyranose biosynthesis"
"2422","PWY-7469","gentisate degradation II"
"2423","PWY-7470","phosphatidylcholine biosynthesis VII"
"2424","PWY-7471","D-carnitine degradation I"
"2425","PWY-7472","D-carnitine degradation II"
"2426","PWY-7473","avenacin A-1 biosynthesis"
"2427","PWY-7474","avenacin A-2 biosynthesis"
"2428","PWY-7475","des-methyl avenacin A-1 biosynthesis"
"2429","PWY-7476","superpathway avenacin A biosynthesis"
"2430","PWY-7477","momilactone A biosynthesis"
"2431","PWY-7478","oryzalexin D and E biosynthesis"
"2432","PWY-7480","2,3-dihydroxybenzoate degradation"
"2433","PWY-7481","oryzalide A biosynthesis"
"2434","PWY-7482","cyclooctatin biosynthesis"
"2435","PWY-7483","elloramycin biosynthesis"
"2436","PWY-7484","phytocassanes biosynthesis, shared reactions"
"2437","PWY-7485","tetracenomycin C biosynthesis"
"2438","PWY-7487","(+)-secoisolariciresinol diglucoside biosynthesis"
"2439","PWY-7489","oryzalexin A, B, and C biosynthesis"
"2440","PWY-7490","patulin biosynthesis"
"2441","PWY-7491","podophyllotoxin glucosides metabolism"
"2442","PWY-7492","paspaline biosynthesis"
"2443","PWY-7493","paxilline and diprenylpaxilline biosynthesis"
"2444","PWY-7494","choline degradation IV"
"2445","PWY-7495","gossypetin metabolism"
"2446","PWY-7496","linuron degradation"
"2447","PWY-7497","3&beta;-hydroxysesquiterpene lactone biosynthesis"
"2448","PWY-7498","phenylpropanoids methylation (ice plant)"
"2449","PWY-7501","phosphatidylserine biosynthesis I"
"2450","PWY-7506","phosphatidylserine biosynthesis II"
"2451","PWY-7507","chelerythrine biosynthesis"
"2452","PWY-7509","cardiolipin and phosphatidylethanolamine biosynthesis (Xanthomonas)"
"2453","PWY-7510","rhizocticin A and B biosynthesis"
"2454","PWY-7511","protein ubiquitylation"
"2455","PWY-7512","3,5,6-trichloro-2-pyridinol degradation"
"2456","PWY-7513","flaviolin dimer and mompain biosynthesis"
"2457","PWY-7514","L-tyrosine degradation IV (to 4-methylphenol)"
"2458","PWY-7515","trans-3-hydroxy-L-proline degradation"
"2459","PWY-7516","L-lyxonate degradation"
"2460","PWY-7517","brassicicene C biosynthesis"
"2461","PWY-7518","atromentin biosynthesis"
"2462","PWY-7520","terrequinone A biosynthesis"
"2463","PWY-7521","3-(4-sulfophenyl)butanoate degradation"
"2464","PWY-7522","(R)-canadine biosynthesis"
"2465","PWY-7523","L-arginine degradation XII"
"2466","PWY-7524","mevalonate pathway III (archaea)"
"2467","PWY-7525","fumitremorgin C biosynthesis"
"2468","PWY-7526","fumitremorgin A biosynthesis"
"2469","PWY-7527","L-methionine salvage cycle III"
"2470","PWY-7528","L-methionine salvage cycle I (bacteria and plants)"
"2471","PWY-7529","CMP-N-acetyl-7-O-acetylneuraminate biosynthesis"
"2472","PWY-7530","&beta;-D-galactosaminyl-(1&rarr;3)-N-acetyl-&alpha;-D-galactosamine biosynthesis"
"2473","PWY-7531","mannojirimycin biosynthesis"
"2474","PWY-7532","acetylaszonalenin biosynthesis"
"2475","PWY-7533","gliotoxin biosynthesis"
"2476","PWY-7534","gliotoxin inactivation"
"2477","PWY-7535","lovastatin biosynthesis"
"2478","PWY-7536","2-amino-3-hydroxycyclopent-2-enone biosynthesis"
"2479","PWY-7537","superpathway of fumitremorgin biosynthesis"
"2480","PWY-7539","6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)"
"2481","PWY-7540","aflatrem biosynthesis"
"2482","PWY-7541","1,2-propanediol biosynthesis from lactate (engineered)"
"2483","PWY-7542","fumiquinazoline D biosynthesis"
"2484","PWY-7543","5-N-acetylardeemin biosynthesis"
"2485","PWY-7544","pyruvate to cytochrome bo oxidase electron transfer"
"2486","PWY-7545","pyruvate to cytochrome bd terminal oxidase electron transfer"
"2487","PWY-7546","diphthamide biosynthesis (eukaryotes)"
"2488","PWY-7547","prodigiosin biosynthesis"
"2489","PWY-7548","methylthiolincosamide biosynthesis"
"2490","PWY-7549","asperlicin E biosynthesis"
"2491","PWY-7550","ergothioneine biosynthesis II (fungi)"
"2492","PWY-7552","heme biosynthesis III (from siroheme)"
"2493","PWY-7554","heme d1 biosynthesis"
"2494","PWY-7555","&alpha;-cyclopiazonate biosynthesis"
"2495","PWY-7556","(-)-microperfuranone biosynthesis"
"2496","PWY-7557","dehydrodiconiferyl alcohol degradation"
"2497","PWY-7558","&alpha;-cyclopiazonate detoxification"
"2498","PWY-7559","glutathione degradation (DUG pathway - yeast)"
"2499","PWY-7560","methylerythritol phosphate pathway II"
"2500","PWY-7561","tenellin biosynthesis"
"2501","PWY-7562","3,6-anhydro-&alpha;-L-galactopyranose degradation"
"2502","PWY-7563","bassianin and desmethylbassianin biosynthesis"
"2503","PWY-7564","bacimethrin and bacimethrin pyrophosphate biosynthesis"
"2504","PWY-7565","aspyridone A biosynthesis"
"2505","PWY-7566","L-gulonate degradation"
"2506","PWY-7568","L-galactose degradation"
"2507","PWY-7569","arginomycin biosynthesis"
"2508","PWY-7570","blasticidin S biosynthesis"
"2509","PWY-7571","ferrichrome A biosynthesis"
"2510","PWY-7572","lolitrem B biosynthesis"
"2511","PWY-7573","GDP-mycosamine biosynthesis"
"2512","PWY-7574","propanoyl-CoA degradation II"
"2513","PWY-7575","superpathway of candicidin biosynthesis"
"2514","PWY-7576","nitrogen fixation II (flavodoxin)"
"2515","PWY-7577","ferrichrome biosynthesis"
"2516","PWY-7578","phycoviolobilin biosynthesis"
"2517","PWY-7579","phycourobilin biosynthesis"
"2518","PWY-7580","phycoerythrobilin biosynthesis II"
"2519","PWY-7581","N-acetylneuraminate and N-acetylmannosamine degradation II"
"2520","PWY-7582","mercaptosuccinate degradation"
"2521","PWY-7583","arachidonate biosynthesis II (bacteria)"
"2522","PWY-7585","docosahexaenoate biosynthesis II (bacteria)"
"2523","PWY-7586","&beta;-1,4-D-mannosyl-N-acetyl-D-glucosamine degradation"
"2524","PWY-7587","oleate biosynthesis III (cyanobacteria)"
"2525","PWY-7588","ursodeoxycholate biosynthesis (bacteria)"
"2526","PWY-7589","palmitoleate biosynthesis III (cyanobacteria)"
"2527","PWY-7590","(7Z,10Z,13Z)-hexadecatrienoate biosynthesis"
"2528","PWY-7591","okenone biosynthesis"
"2529","PWY-7592","arachidonate biosynthesis III (metazoa)"
"2530","PWY-7593","linoleate biosynthesis III (cyanobacteria)"
"2531","PWY-7594","&gamma;-linolenate biosynthesis III (cyanobacteria)"
"2532","PWY-7595","stearidonate biosynthesis (cyanobacteria)"
"2533","PWY-7596","superpathway of stearidonate biosynthesis (cyanobacteria)"
"2534","PWY-7598","&alpha;-linolenate biosynthesis II (cyanobacteria)"
"2535","PWY-7599","anditomin biosynthesis"
"2536","PWY-7600","peramine biosynthesis"
"2537","PWY-7601","arachidonate biosynthesis IV (8-detaturase)"
"2538","PWY-7602","icosapentaenoate biosynthesis V (&Delta;8 desaturase)"
"2539","PWY-7603","stephacidin A biosynthesis"
"2540","PWY-7604","notoamide C and D biosynthesis"
"2541","PWY-7605","roquefortine C biosynthesis"
"2542","PWY-7606","docosahexaenoate biosynthesis III (mammals)"
"2543","PWY-7607","meleagrin biosynthesis"
"2544","PWY-7608","neoxaline biosynthesis"
"2545","PWY-7609","superpathway of roquefortine, meleagrin and neoxaline biosynthesis"
"2546","PWY-7610","GDP-6-deoxy-D-altro-heptose biosynthesis"
"2547","PWY-7612","chaetoglobosin A biosynthesis"
"2548","PWY-7613","GDP-6-deoxy-D-manno-heptose biosynthesis"
"2549","PWY-7614","methiin metabolism"
"2550","PWY-7615","pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)"
"2551","PWY-7616","methanol oxidation to carbon dioxide"
"2552","PWY-7618","ricinoleate biosynthesis"
"2553","PWY-7619","juniperonate biosynthesis"
"2554","PWY-761","rhizobactin 1021 biosynthesis"
"2555","PWY-7620","naphthalene degradation (anaerobic)"
"2556","PWY-7621","autoinducer CAI-1 biosynthesis"
"2557","PWY-7622","UDP-galactofuranose biosynthesis"
"2558","PWY-7623","astaxanthin dirhamnoside biosynthesis"
"2559","PWY-7624","nystatin biosynthesis"
"2560","PWY-7625","phosphatidylinositol biosynthesis II (eukaryotes)"
"2561","PWY-7626","bacilysin biosynthesis"
"2562","PWY-7627","2,4,6-trinitrophenol and 2,4-dinitrophenol degradation"
"2563","PWY-7628","2,4-dinitroanisole degradation"
"2564","PWY-7629","yatein biosynthesis"
"2565","PWY-762","phospholipid desaturation"
"2566","PWY-7630","pluviatolide biosynthesis"
"2567","PWY-7631","arctigenin and isoarctigenin biosynthesis"
"2568","PWY-7632","hinokiresinol biosynthesis"
"2569","PWY-7633","calycosin 7-O-glucoside biosynthesis"
"2570","PWY-7634","vernolate biosynthesis II"
"2571","PWY-7635","kievitone detoxification"
"2572","PWY-7636","astaxanthin biosynthesis (flowering plants)"
"2573","PWY-7637","2,2'-dihydroxyketocarotenoids biosynthesis"
"2574","PWY-7638","echinenone and zeaxanthin biosynthesis (Synechocystis)"
"2575","PWY-7639","bis(guanylyl molybdenum cofactor) biosynthesis"
"2576","PWY-7640","neophaseic acid biosynthesis"
"2577","PWY-7641","5-hexynoate biosynthesis"
"2578","PWY-7642","7'-hydroxyabscisate biosynthesis"
"2579","PWY-7643","coniferyl alcohol 9-methyl ester biosynthesis"
"2580","PWY-7644","heparin degradation"
"2581","PWY-7645","hyaluronan degradation"
"2582","PWY-7646","dermatan sulfate degradation I (bacterial)"
"2583","PWY-7647","ulvan degradation"
"2584","PWY-7648","4-methyl-proline biosynthesis"
"2585","PWY-7649","3-hydroxy-L-homotyrosine biosynthesis"
"2586","PWY-7650","echinocandin B biosynthesis"
"2587","PWY-7651","heparan sulfate degradation"
"2588","PWY-7652","echinocandin B degradation"
"2589","PWY-7653","griseofulvin biosynthesis"
"2590","PWY-7654","(8E,10E)-dodeca-8,10-dienol biosynthesis"
"2591","PWY-7655","dechlorogriseofulvin biosynthesis"
"2592","PWY-7656","Spodoptera littoralis pheromone biosynthesis"
"2593","PWY-7657","dTDP-&beta;-L-digitoxose biosynthesis"
"2594","PWY-7658","protein N-glycosylation (Methanococcus voltae)"
"2595","PWY-7659","viridicatumtoxin biosynthesis"
"2596","PWY-7660","tryptoquialanine biosynthesis"
"2597","PWY-7661","protein N-glycosylation (Haloferax volcanii)"
"2598","PWY-7662","glycogen degradation III (via anhydrofructose)"
"2599","PWY-7663","gondoate biosynthesis (anaerobic)"
"2600","PWY-7664","oleate biosynthesis IV (anaerobic)"
"2601","PWY-7665","aureobasidin A biosynthesis"
"2602","PWY-7666","galactolipid biosynthesis II"
"2603","PWY-7667","apicidin biosynthesis"
"2604","PWY-7668","apicidin F biosynthesis"
"2605","PWY-7669","equisetin biosynthesis"
"2606","PWY-7670","fusaridione A biosynthesis"
"2607","PWY-7671","saframycin A biosynthesis"
"2608","PWY-7672","fusaric acid biosynthesis"
"2609","PWY-7673","fusarin C biosynthesis"
"2610","PWY-7674","CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis"
"2611","PWY-7675","Kdo transfer to lipid IVA II"
"2612","PWY-7676","Kdo8N transfer to lipid IVA"
"2613","PWY-7677","rosamicin biosynthesis"
"2614","PWY-782","glycolipid desaturation"
"2615","PWY-801","L-homocysteine and L-cysteine interconversion"
"2616","PWY-804","glycolate degradation II"
"2617","PWY-81","toluene degradation to benzoyl-CoA (anaerobic)"
"2618","PWY-821","superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)"
"2619","PWY-822","fructan biosynthesis"
"2620","PWY-82","UDP-L-arabinose biosynthesis II (from L-arabinose)"
"2621","PWY-83","monolignol glucosides biosynthesis"
"2622","PWY-841","superpathway of purine nucleotides de novo biosynthesis I"
"2623","PWY-842","starch degradation I"
"2624","PWY-84","resveratrol biosynthesis"
"2625","PWY-861","dhurrin biosynthesis"
"2626","PWY-862","fructan degradation"
"2627","PWY-881","trehalose biosynthesis II"
"2628","PWY-882","L-ascorbate biosynthesis I (L-galactose pathway)"
"2629","PWY8J2-1","bacillithiol biosynthesis"
"2630","PWY8J2-20","pulcherrimin biosynthesis"
"2631","PWY8J2-22","kanosamine biosynthesis II"
"2632","PWY-922","mevalonate pathway I"
"2633","PWY-981","salicylate biosynthesis II"
"2634","PWYDQC-4","indole-3-acetate biosynthesis I"
"2635","PWYG-321","mycolate biosynthesis"
"2636","PWYQT-4427","sulfolipid biosynthesis"
"2637","PWYQT-4429","CO2 fixation into oxaloacetate (anaplerotic)"
"2638","PWYQT-4450","aliphatic glucosinolate biosynthesis, side chain elongation cycle"
"2639","PWYQT-4471","glucosinolate biosynthesis from dihomomethionine"
"2640","PWYQT-4472","glucosinolate biosynthesis from trihomomethionine"
"2641","PWYQT-4473","glucosinolate biosynthesis from tetrahomomethionine"
"2642","PWYQT-4474","glucosinolate biosynthesis from pentahomomethionine"
"2643","PWYQT-4475","glucosinolate biosynthesis from hexahomomethionine"
"2644","PWYQT-4476","indole glucosinolate breakdown (insect chewing induced)"
"2645","PWYQT-4477","indole glucosinolate breakdown (active in intact plant cell)"
"2646","PYRIDNUCSAL-PWY","NAD salvage pathway I"
"2647","PYRIDNUCSYN-PWY","NAD biosynthesis I (from aspartate)"
"2648","PYRIDOXSYN-PWY","pyridoxal 5'-phosphate biosynthesis I"
"2649","PYRUVDEHYD-PWY","pyruvate decarboxylation to acetyl CoA"
"2650","QUINATEDEG-PWY","quinate degradation I"
"2651","REDCITCYC","TCA cycle VIII (helicobacter)"
"2652","RHAMCAT-PWY","L-rhamnose degradation I"
"2653","RIBITOLUTIL-PWY","ribitol degradation"
"2654","RIBOKIN-PWY","ribose degradation"
"2655","RIBOSYN2-PWY","flavin biosynthesis I (bacteria and plants)"
"2656","RUMP-PWY","formaldehyde oxidation I"
"2657","SALVADEHYPOX-PWY","adenosine nucleotides degradation II"
"2658","SALVPURINE2-PWY","xanthine and xanthosine salvage"
"2659","SAM-PWY","S-adenosyl-L-methionine biosynthesis"
"2660","SERDEG-PWY","L-serine degradation"
"2661","SER-GLYSYN-PWY","superpathway of L-serine and glycine biosynthesis I"
"2662","SERSYN-PWY","L-serine biosynthesis"
"2663","SHIKIMATEDEG-PWY","shikimate degradation I"
"2664","SO4ASSIM-PWY","sulfate reduction I (assimilatory)"
"2665","SOPHOROSYLOXYDOCOSANOATE-DEG-PWY","sophorosyloxydocosanoate deacetylation"
"2666","SOPHOROSYLOXYDOCOSANOATE-SYN-PWY","sophorolipid biosynthesis"
"2667","SORBDEG-PWY","D-sorbitol degradation II"
"2668","SPHINGOLIPID-SYN-PWY","sphingolipid biosynthesis (yeast)"
"2669","SUCROSEUTIL2-PWY","sucrose degradation VII (sucrose 3-dehydrogenase)"
"2670","SUCSYN-PWY","sucrose biosynthesis I (from photosynthesis)"
"2671","SUCUTIL-PWY","sucrose degradation I (sucrose phosphotransferase)"
"2672","SULFATE-CYS-PWY","superpathway of sulfate assimilation and cysteine biosynthesis"
"2673","SULFMETII-PWY","sulfate reduction II (assimilatory)"
"2674","SULFUROX-PWY","sulfur oxidation I (aerobic)"
"2675","TAURINEDEG-PWY","taurine degradation III"
"2676","TCA-GLYOX-BYPASS","superpathway of glyoxylate bypass and TCA"
"2677","TCA","TCA cycle I (prokaryotic)"
"2678","TEICHOICACID-PWY","teichoic acid (poly-glycerol) biosynthesis"
"2679","THIOREDOX-PWY","thioredoxin pathway"
"2680","THIOSULFOX-PWY","thiosulfate oxidation I (to tetrathionate)"
"2681","THISYNARA-PWY","superpathway of thiamin diphosphate biosynthesis III (eukaryotes)"
"2682","THISYN-PWY","superpathway of thiamin diphosphate biosynthesis I"
"2683","THRDLCTCAT-PWY","L-threonine degradation III (to methylglyoxal)"
"2684","THREOCAT-PWY","superpathway of L-threonine metabolism"
"2685","THREONINE-DEG2-PWY","L-threonine degradation II"
"2686","THRESYN-PWY","superpathway of L-threonine biosynthesis"
"2687","TOLSULFDEG-PWY","4-toluenesulfonate degradation I"
"2688","TOLUENE-DEG-2-OH-PWY","toluene degradation to 2-oxopent-4-enoate I (via o-cresol)"
"2689","TOLUENE-DEG-3-OH-PWY","toluene degradation to 2-oxopent-4-enoate (via 4-methylcatechol)"
"2690","TOLUENE-DEG-4-OH-PWY","toluene degradation to protocatechuate (via p-cresol)"
"2691","TOLUENE-DEG-CATECHOL-PWY","toluene degradation to benzoate"
"2692","TOLUENE-DEG-DIOL-PWY","toluene degradation to 2-oxopent-4-enoate (via toluene-cis-diol)"
"2693","TREDEGLOW-PWY","trehalose degradation I (low osmolarity)"
"2694","TREHALOSESYN-PWY","trehalose biosynthesis III"
"2695","TRESYN-PWY","trehalose biosynthesis I"
"2696","TRIGLSYN-PWY","diacylglycerol and triacylglycerol biosynthesis"
"2697","TRNA-CHARGING-PWY","tRNA charging"
"2698","TRPCAT-PWY","L-tryptophan degradation I (via anthranilate)"
"2699","TRPIAACAT-PWY","L-tryptophan degradation VII (via indole-3-pyruvate)"
"2700","TRPKYNCAT-PWY","L-tryptophan degradation IV (via indole-3-lactate)"
"2701","TRPSYN-PWY","L-tryptophan biosynthesis"
"2702","TRYPANOSYN-PWY","trypanothione biosynthesis"
"2703","TRYPDEG-PWY","L-tryptophan degradation II (via pyruvate)"
"2704","TRYPTOPHAN-DEGRADATION-1","L-tryptophan degradation III (eukaryotic)"
"2705","TYRFUMCAT-PWY","L-tyrosine degradation I"
"2706","TYRSYN","L-tyrosine biosynthesis I"
"2707","UBISYN-PWY","superpathway of ubiquinol-8 biosynthesis (prokaryotic)"
"2708","UDPNACETYLGALSYN-PWY","UDP-N-acetyl-D-glucosamine biosynthesis II"
"2709","UDPNAGSYN-PWY","UDP-N-acetyl-D-glucosamine biosynthesis I"
"2710","URDEGR-PWY","superpathway of allantoin degradation in plants"
"2711","URSIN-PWY","ureide biosynthesis"
"2712","VALDEG-PWY","L-valine degradation I"
"2713","VALSYN-PWY","L-valine biosynthesis"
"2714","XYLCAT-PWY","xylose degradation I"
